predicciones_lr,predicciones_lasso
2056.5182659023308,1816.8162851550144
1588.5182659023308,1414.8477820683988
1347.8849962385368,2146.4468937688334
2585.156468013237,2430.0363906099474
5345.604577387681,4995.100238135693
1977.030088881727,1862.0577776030027
833.1564680132369,680.215580045527
2585.156468013237,2698.7244215241735
1449.156468013237,1541.1395465820797
3037.156468013237,2907.6656731881967
2001.156468013237,1880.009504712939
1289.156468013237,1385.9277206060078
2109.156468013237,1983.2934993189629
1933.156468013237,2033.4184002322784
969.0428620502951,927.0215662113525
2493.156468013237,2473.093287995499
3205.2672216685405,3085.8396381667562
2457.156468013237,2810.846011747084
2903.156468013237,3127.9826899488407
1077.156468013237,1426.215926083212
2949.1433923285126,2770.742199977154
3625.156468013237,3702.6630206109585
841.1564680132369,821.4602939103601
281.1564680132369,512.963991917977
3129.156468013237,2815.304382029458
1353.156468013237,1662.7817290004548
965.1564680132369,819.4093533152045
2561.156468013237,2525.318173200969
3829.156468013237,3774.0351536321405
2149.156468013237,1853.0624241154783
-1174.843531986763,-1140.0371572053314
2929.156468013237,2851.7208979943953
621.1564680132369,564.8921498843008
4679.156468013237,4748.039856149671
2561.156468013237,2568.2829799085484
4419.157077591326,4558.345841804756
2447.156468013237,2688.30780218562
-130.84353198676308,231.39310684696238
2985.156468013237,2986.4949542505356
2136.5489677418677,3033.609438060059
1470.5489677418677,2078.62123941143
503.60457738768105,270.80774737813204
2689.156468013237,2713.5129619646314
1947.156468013237,2100.635867846565
1321.156468013237,1778.5789144453577
1857.779902348678,1828.9376851868303
-1112.8429224086738,-640.9732759219978
3169.156468013237,2853.2197969793733
3598.0265928569265,3825.995313827244
2153.156468013237,1978.3287183315817
815.2242494757227,961.2061087902151
1775.226210470583,1746.5582379480813
2965.156468013237,2819.80205877322
2061.156468013237,1939.8615883677646
4235.156468013237,4312.784685399987
2957.156468013237,3030.538342068553
3039.3645714933623,2840.576127551969
743.2540667948506,722.4132557841209
2457.156468013237,2325.67464376112
1241.156468013237,1457.2998536271893
2732.5182659023308,2277.2713007824823
3341.156468013237,3328.876098692692
3387.156468013237,3602.574541499469
1747.1570775913262,1557.118292827086
2177.156468013237,2395.041467092315
2507.461114328148,2838.4702364040286
2589.156468013237,2591.6798943296
4097.156468013237,4042.084693755719
3247.7082497477336,2864.5247569869216
3229.156468013237,3428.6945378925884
2825.156468013237,2899.787880676222
2991.156468013237,3105.533286095142
1823.156468013237,1763.7388905806365
3373.156468013237,3876.5483391190664
3757.156468013237,3947.711441866938
2077.156468013237,2709.9627957882212
325.1564680132369,250.95033398452665
2261.461114328148,2334.1639131399115
2125.156468013237,2163.479425027566
2371.304155334976,2323.4932245774376
2133.156468013237,2395.041467092315
1828.5182659023308,1437.8102476671625
1749.156468013237,1565.561931300709
3184.3044536434936,2975.863245553175
3351.6045773876813,2768.8673688756944
2037.156468013237,1739.2771994006189
3625.156468013237,3562.4434504474275
3453.461114328148,3486.5736406824835
615.1570775913264,798.9329303264362
1561.4611143281481,2153.9430216751034
2381.156468013237,2591.167159180811
4617.156468013237,4828.842118076941
2871.156468013237,3099.497403905013
1469.156468013237,1420.3322758409022
2169.532542475072,1978.1526088378862
857.1564680132369,827.3792365051511
2353.156468013237,2210.870599788739
2177.156468013237,2112.077957482696
2793.156468013237,2890.148721496824
1549.5310371713736,1363.7759625422905
2267.156468013237,2194.9311600051215
1513.522657100651,1563.0762152869895
2653.156468013237,2643.601074659591
2093.156468013237,1936.4283617866924
797.1564680132369,1250.6729314298582
5025.156468013237,5240.622414675348
2101.156468013237,2106.074077521347
1037.156468013237,995.2676526882424
1971.156468013237,2216.1237069184854
3751.156468013237,3673.743285744843
485.4611143281483,906.1735518112848
2997.156468013237,2964.045550396837
-822.8435319867631,-328.1028878212471
4735.156468013237,4962.668990362005
1661.156468013237,1535.61639954074
2867.156468013237,3089.0418047013472
961.1564680132369,944.6756475313077
1695.9407782966011,1534.4537996145796
1705.156468013237,1550.5696754881683
1785.156468013237,1859.020346575382
4061.156468013237,4163.569761748932
569.1564680132369,601.3080126566863
1533.156468013237,1374.446651104764
1509.156468013237,1509.3131246351531
3403.156468013237,3230.518231805213
4171.156468013237,4278.38045676137
1565.522657100651,1914.9264685003468
840.5182659023308,510.9979886893792
1645.156468013237,1580.0807584258494
1822.633603584198,1769.5203769505688
2962.5182659023308,2595.2303871022846
2080.672657787389,1892.8136903017416
1905.156468013237,1745.7478570093115
139.60457738768105,-69.52245646886854
861.1564680132369,1419.00277407157
621.1564680132369,646.7518843379287
719.1564680132369,522.4790581906229
1407.1570775913265,1347.1179059015994
-262.8435319867631,-201.2310935775156
2574.520752869529,2422.876888358771
453.1564680132369,1346.4001545884078
649.1564680132369,654.2546632842553
1133.156468013237,1659.5924984488995
2189.156468013237,2033.6831252426448
1605.156468013237,1448.304500139665
1941.156468013237,2008.7480053752267
2553.156468013237,2393.5812213761733
4235.156468013237,4328.763431644994
1697.156468013237,1696.3513725581522
1384.5489677418677,2289.4688208045977
2033.156468013237,1982.9964454835413
3741.156468013237,3797.0362724997403
757.1564680132369,1227.604517980997
5111.7804656810085,3993.6357198719134
2361.156468013237,2304.7314431250074
2116.9873822070613,2088.4656271065614
715.1564680132369,665.1843443678736
1061.156468013237,1178.4520295593534
1121.156468013237,1342.9629138984285
961.1564680132369,1073.6621583320182
2457.156468013237,2474.9351983173447
2663.8849962385366,2842.7252179105944
3767.7018616520427,3611.7028052700043
3033.156468013237,2849.7475905331885
1237.156468013237,1330.1916490892409
-198.84353198676308,179.47192651697105
2673.156468013237,2796.0571447103503
2709.522657100651,2813.975206856401
2261.156468013237,2361.6237288861616
717.522657100651,1324.424506018385
2729.156468013237,2933.1135282044033
2525.156468013237,2526.856378647336
-0.6899468333331242,119.14608757846963
-1266.843531986763,-887.0861473406671
2477.156468013237,2374.130268684983
3527.030088881727,3359.2957123326123
3255.156468013237,3397.018720504885
4033.1570775913265,4191.503332778858
1903.156468013237,2030.4925938987683
4391.156468013237,5028.478996476734
1941.156468013237,1645.9294178094146
2576.0265928569265,2906.1667742032178
3941.156468013237,3762.5540841308966
913.1564680132369,937.7312346389389
-190.84353198676308,144.59394259467604
1651.8849962385368,1863.175338578553
3006.0265928569265,3091.323805342983
3423.756345435785,3736.9301196209944
3501.156468013237,3576.1065310869117
2805.156468013237,2647.073281105776
1801.156468013237,1625.9267501043232
3701.156468013237,3470.5952210337528
2513.156468013237,2372.631043103729
2117.2672216685405,1794.624955271625
1157.156468013237,873.3424943752386
3585.156468013237,3801.2249294667963
1777.156468013237,1662.8490235817171
3117.156468013237,2982.4710327904495
2829.156468013237,2644.6265449571683
-846.8435319867631,-812.6092887106036
3177.156468013237,3258.220416192383
1577.156468013237,2213.869050951247
3093.156468013237,2941.5961465431383
2225.156468013237,2441.4784802460786
1979.156468013237,1773.720734500626
1917.156468013237,1877.52378869922
3941.156468013237,3873.0371528077694
1345.156468013237,1347.4605906421907
3213.156468013237,3038.3771547154147
2041.156468013237,1860.0068370078473
3247.2672216685405,3165.898104898756
-1082.843531986763,-1038.1677774102793
3163.1570775913265,3014.428851876737
1377.4611143281481,1494.1897982795272
4042.080755625004,3758.9447480561294
1719.8849962385368,2055.1460386638782
-106.84353198676308,-87.91962414633247
4949.156468013237,5155.283496139204
2457.156468013237,2418.9900965272677
3753.156468013237,3687.748724528644
553.1564680132369,561.9257009505725
2481.304100367386,2263.6021610575
2829.156468013237,2642.6145842271253
2953.156468013237,2779.8746830932614
1633.156468013237,1848.09099208804
1545.156468013237,1416.3080277845404
3393.156468013237,3323.3532782476277
2693.156468013237,2510.364897253541
2471.157077591326,2275.2916688774953
1561.156468013237,1559.0522938269037
4759.328349574493,3973.5349024033503
565.1564680132369,1048.444062569972
1669.156468013237,1534.1561538245983
1732.5182659023308,1617.4831116307
1389.156468013237,1209.2140013435896
1741.156468013237,1836.2282579810922
2177.156468013237,2023.2275260389786
1905.156468013237,1863.044268035468
2041.156468013237,2040.6988468251816
2701.156468013237,2700.4936870170204
-1262.843531986763,-910.522041626831
3069.156468013237,3271.4317713213613
293.1564680132369,655.1672080954027
1948.5182659023308,1665.854125784282
-119.48173409766923,36.76664033972031
2583.6045773876813,1875.511827969177
893.2256589484832,852.6899618927754
661.1564680132369,772.1948800022858
-1062.969911118273,-524.1896000446302
4221.156468013237,4074.0421862457315
3633.156468013237,3695.7186077185897
813.1564680132369,1146.2115611747129
-470.9699111182731,-374.86840194720025
1996.5182659023308,1671.851028109298
3657.156468013237,3513.007986131155
1829.156468013237,1521.136878876988
3521.156468013237,3775.0606239297185
3553.156468013237,3766.346945544502
1831.604577387681,1223.6545421422288
1423.5264750398208,807.2394391714768
3161.2672216685405,2830.7703931256747
2229.156468013237,2320.3671780331465
3081.6045773876813,2305.717933557473
3595.156468013237,3845.176226606841
2909.156468013237,2995.6603581462577
2697.156468013237,2647.6249961196772
2815.156468013237,2592.705691223453
2861.156468013237,2847.7746096682595
1925.156468013237,1881.1660455536016
3705.156468013237,3789.2311248167643
3325.522657100651,3302.915508527696
946.5489677418678,1839.6083737493043
3565.156468013237,3648.4988195044443
2428.133805338053,2370.916728163667
933.1564680132369,793.9614982989978
1889.2672216685405,1290.6069581498734
2913.156468013237,2871.8932895114085
977.1564680132369,1090.9700797500807
2415.6045773876813,1832.5860011267102
2135.156468013237,1920.4499421379624
2503.224249475723,2904.909917262884
2919.156468013237,2727.9928092246582
2405.156468013237,2405.575026026206
2381.156468013237,2468.082876102948
4957.156468013237,5164.2788496267285
3885.156468013237,3950.4061881539665
895.604577387681,344.81085072451947
1909.2672216685405,1555.2374026401278
600.1015712016317,993.4612470702082
1093.156468013237,928.262125867738
891.8405382547097,780.2923585740159
1535.117265602991,1922.7202421965983
2010.720981897066,1683.3320976105417
2517.156468013237,2743.188453813007
3631.156468013237,3720.8574429580913
3116.4286895577593,3063.1361650891367
1985.156468013237,2086.6297758702135
2157.156468013237,2581.2632749910463
415.1570775913263,687.0467408551892
167.15646801323692,545.4411971931104
1729.156468013237,2191.3067216111176
2401.156468013237,2821.7750396381507
3669.156468013237,3634.3283186173976
1885.030088881727,1680.3336464480335
1773.156468013237,1480.261992629677
2585.156468013237,2445.937177124729
3893.156468013237,3968.94329524169
