predicciones_lr,predicciones_lasso,predicciones boost
2056.5182659023308,1816.8162851550144,1693.7304857776967
1588.5182659023308,1414.8477820683988,1304.8672310437694
1347.8849962385368,2146.4468937688334,878.5309552330951
2585.156468013237,2430.0363906099474,2295.7139283306215
5345.604577387681,4995.100238135693,5665.9270154281885
1977.030088881727,1862.0577776030027,1935.0742364681873
833.1564680132369,680.215580045527,699.2983670103225
2585.156468013237,2698.7244215241735,2138.252302771794
1449.156468013237,1541.1395465820797,1520.9644828115872
3037.156468013237,2907.6656731881967,2535.7852431497827
2001.156468013237,1880.009504712939,1932.2735009563394
1289.156468013237,1385.9277206060078,1292.7345864562785
2109.156468013237,1983.2934993189629,876.6950008084167
1933.156468013237,2033.4184002322784,1963.824077119191
969.0428620502951,927.0215662113525,850.2380332529851
2493.156468013237,2473.093287995499,2352.8228912094078
3205.2672216685405,3085.8396381667562,2878.9284450209593
2457.156468013237,2810.846011747084,2745.276972442534
2903.156468013237,3127.9826899488407,2707.7252284214883
1077.156468013237,1426.215926083212,722.0074882932691
2949.1433923285126,2770.742199977154,2808.7803778432767
3625.156468013237,3702.6630206109585,3866.0741389231725
841.1564680132369,821.4602939103601,822.3288924800486
281.1564680132369,512.963991917977,502.5357199234492
3129.156468013237,2815.304382029458,2822.70782220969
1353.156468013237,1662.7817290004548,880.8717381382107
965.1564680132369,819.4093533152045,829.4866641214932
2561.156468013237,2525.318173200969,2241.030015873983
3829.156468013237,3774.0351536321405,3985.42435896766
2149.156468013237,1853.0624241154783,1979.5017118595124
-1174.843531986763,-1140.0371572053314,21.157297013237386
2929.156468013237,2851.7208979943953,2677.3935248235803
621.1564680132369,564.8921498843008,657.3146906118077
4679.156468013237,4748.039856149671,5645.592069611593
2561.156468013237,2568.2829799085484,2781.4552732792645
4419.157077591326,4558.345841804756,5322.218387340497
2447.156468013237,2688.30780218562,1931.844163146437
-130.84353198676308,231.39310684696238,523.0238764488704
2985.156468013237,2986.4949542505356,2812.2539387453253
2136.5489677418677,3033.609438060059,2674.1041298559503
1470.5489677418677,2078.62123941143,1985.8243859170216
503.60457738768105,270.80774737813204,537.0476162114361
2689.156468013237,2713.5129619646314,2781.4552732792645
1947.156468013237,2100.635867846565,2010.9664885824313
1321.156468013237,1778.5789144453577,1002.878860021196
1857.779902348678,1828.9376851868303,1821.5892068034605
-1112.8429224086738,-640.9732759219978,226.88769843514822
3169.156468013237,2853.2197969793733,2834.7186428548807
3598.0265928569265,3825.995313827244,3760.4589836295577
2153.156468013237,1978.3287183315817,1925.516089419704
815.2242494757227,961.2061087902151,889.6345686296526
1775.226210470583,1746.5582379480813,1656.1886752270568
2965.156468013237,2819.80205877322,2811.302747617421
2061.156468013237,1939.8615883677646,1922.715353907856
4235.156468013237,4312.784685399987,5109.440830529252
2957.156468013237,3030.538342068553,2779.3900176818283
3039.3645714933623,2840.576127551969,2811.302747617421
743.2540667948506,722.4132557841209,768.0579428072199
2457.156468013237,2325.67464376112,713.9537696256566
1241.156468013237,1457.2998536271893,1483.3367862678763
2732.5182659023308,2277.2713007824823,2134.078954302885
3341.156468013237,3328.876098692692,3379.871052232208
3387.156468013237,3602.574541499469,3192.8759537774536
1747.1570775913262,1557.118292827086,1579.066126173675
2177.156468013237,2395.041467092315,2270.5718256652112
2507.461114328148,2838.4702364040286,2629.3813090317585
2589.156468013237,2591.6798943296,2811.302747617421
4097.156468013237,4042.084693755719,4144.1554877409035
3247.7082497477336,2864.5247569869216,2821.303157101752
3229.156468013237,3428.6945378925884,4241.361148730763
2825.156468013237,2899.787880676222,2877.8068436206586
2991.156468013237,3105.533286095142,2699.8601684906807
1823.156468013237,1763.7388905806365,1806.1050408082378
3373.156468013237,3876.5483391190664,4041.449317023255
3757.156468013237,3947.711441866938,3989.211871525377
2077.156468013237,2709.9627957882212,2811.302747617421
325.1564680132369,250.95033398452665,526.9383678472865
2261.461114328148,2334.1639131399115,2075.3879601903313
2125.156468013237,2163.479425027566,954.8905515197126
2371.304155334976,2323.4932245774376,2105.235434528488
2133.156468013237,2395.041467092315,2281.9769002574803
1828.5182659023308,1437.8102476671625,1388.5673409968285
1749.156468013237,1565.561931300709,1543.656337102271
3184.3044536434936,2975.863245553175,2712.885921678591
3351.6045773876813,2768.8673688756944,2975.4174980019716
2037.156468013237,1739.2771994006189,1674.2489896228992
3625.156468013237,3562.4434504474275,3849.5751881405176
3453.461114328148,3486.5736406824835,3790.553678751963
615.1570775913264,798.9329303264362,825.7220737422633
1561.4611143281481,2153.9430216751034,842.6819063520278
2381.156468013237,2591.167159180811,2811.302747617421
4617.156468013237,4828.842118076941,6004.423487557727
2871.156468013237,3099.497403905013,2763.4373724697552
1469.156468013237,1420.3322758409022,1368.6465725285323
2169.532542475072,1978.1526088378862,1937.5269100648948
857.1564680132369,827.3792365051511,824.2779481515721
2353.156468013237,2210.870599788739,1976.6119662976419
2177.156468013237,2112.077957482696,1985.8243859170216
2793.156468013237,2890.148721496824,2811.302747617421
1549.5310371713736,1363.7759625422905,1233.8344571861946
2267.156468013237,2194.9311600051215,2172.9636967210904
1513.522657100651,1563.0762152869895,1520.9644828115872
2653.156468013237,2643.601074659591,2811.302747617421
2093.156468013237,1936.4283617866924,1968.096637267243
797.1564680132369,1250.6729314298582,647.8482899342255
5025.156468013237,5240.622414675348,5749.350314014129
2101.156468013237,2106.074077521347,924.2517124418421
1037.156468013237,995.2676526882424,937.5672153398937
1971.156468013237,2216.1237069184854,1376.0892031190997
3751.156468013237,3673.743285744843,3667.267454608303
485.4611143281483,906.1735518112848,427.43427091335997
2997.156468013237,2964.045550396837,2839.080561198472
-822.8435319867631,-328.1028878212471,241.89480121578458
4735.156468013237,4962.668990362005,5735.322410952236
1661.156468013237,1535.61639954074,1532.3695574038566
2867.156468013237,3089.0418047013472,2706.056527113029
961.1564680132369,944.6756475313077,910.9279475436517
1695.9407782966011,1534.4537996145796,1489.5331448902245
1705.156468013237,1550.5696754881683,1543.0505910493496
1785.156468013237,1859.020346575382,1935.0742364681873
4061.156468013237,4163.569761748932,4296.401692620572
569.1564680132369,601.3080126566863,693.472938198697
1533.156468013237,1374.446651104764,1280.3122391810487
1509.156468013237,1509.3131246351531,1321.2663936264855
3403.156468013237,3230.518231805213,3908.0776181261704
4171.156468013237,4278.38045676137,4776.477964053732
1565.522657100651,1914.9264685003468,1968.096637267243
840.5182659023308,510.9979886893792,631.412083611011
1645.156468013237,1580.0807584258494,1691.394952813439
1822.633603584198,1769.5203769505688,1662.84391503063
2962.5182659023308,2595.2303871022846,2687.6516845233264
2080.672657787389,1892.8136903017416,1968.096637267243
1905.156468013237,1745.7478570093115,1668.052631000551
139.60457738768105,-69.52245646886854,464.0807363256006
861.1564680132369,1419.00277407157,1260.131624240491
621.1564680132369,646.7518843379287,354.93447095287723
719.1564680132369,522.4790581906229,640.3445343335615
1407.1570775913265,1347.1179059015994,1332.5186870014386
-262.8435319867631,-201.2310935775156,557.4467922619032
2574.520752869529,2422.876888358771,2319.413950688197
453.1564680132369,1346.4001545884078,547.0238004138293
649.1564680132369,654.2546632842553,757.8357903429518
1133.156468013237,1659.5924984488995,1562.532087204147
2189.156468013237,2033.6831252426448,1945.5642316754747
1605.156468013237,1448.304500139665,1494.7418608601456
1941.156468013237,2008.7480053752267,1963.6084229105245
2553.156468013237,2393.5812213761733,2281.9769002574803
4235.156468013237,4328.763431644994,5355.003860088001
1697.156468013237,1696.3513725581522,1670.6760833914075
1384.5489677418677,2289.4688208045977,1559.3203258415335
2033.156468013237,1982.9964454835413,1965.9608072152541
3741.156468013237,3797.0362724997403,3697.408737079543
757.1564680132369,1227.604517980997,531.2078083404958
5111.7804656810085,3993.6357198719134,4283.8491052836725
2361.156468013237,2304.7314431250074,2216.211592655256
2116.9873822070613,2088.4656271065614,1932.9375063721243
715.1564680132369,665.1843443678736,695.0510640594979
1061.156468013237,1178.4520295593534,1121.1201530947887
1121.156468013237,1342.9629138984285,1229.703934674649
961.1564680132369,1073.6621583320182,955.4298520172011
2457.156468013237,2474.9351983173447,2312.5375511853385
2663.8849962385366,2842.7252179105944,2792.8603478715336
3767.7018616520427,3611.7028052700043,3849.5751881405176
3033.156468013237,2849.7475905331885,2811.302747617421
1237.156468013237,1330.1916490892409,1266.786864044064
-198.84353198676308,179.47192651697105,453.86931717795994
2673.156468013237,2796.0571447103503,2308.446833323
2709.522657100651,2813.975206856401,2875.284473846514
2261.156468013237,2361.6237288861616,2321.9363204623414
717.522657100651,1324.424506018385,538.6341761326162
2729.156468013237,2933.1135282044033,2712.885921678591
2525.156468013237,2526.856378647336,2270.8774902121395
-0.6899468333331242,119.14608757846963,464.81717731396134
-1266.843531986763,-887.0861473406671,169.69485567396848
2477.156468013237,2374.130268684983,2292.088846124185
3527.030088881727,3359.2957123326123,3461.0936068360356
3255.156468013237,3397.018720504885,3170.198149983472
4033.1570775913265,4191.503332778858,4359.978896599647
1903.156468013237,2030.4925938987683,1303.9556167689634
4391.156468013237,5028.478996476734,5768.220100558458
1941.156468013237,1645.9294178094146,1668.052631000551
2576.0265928569265,2906.1667742032178,2742.7546026683895
3941.156468013237,3762.5540841308966,3985.42435896766
913.1564680132369,937.7312346389389,908.1272120318038
-190.84353198676308,144.59394259467604,479.6287334709999
1651.8849962385368,1863.175338578553,1845.054360598107
3006.0265928569265,3091.323805342983,2880.3331101288977
3423.756345435785,3736.9301196209944,3681.045094414932
3501.156468013237,3576.1065310869117,3869.5988157872835
2805.156468013237,2647.073281105776,2822.70782220969
1801.156468013237,1625.9267501043232,1656.6475564082816
3701.156468013237,3470.5952210337528,3461.0936068360356
2513.156468013237,2372.631043103729,2292.088846124185
2117.2672216685405,1794.624955271625,811.5701489190316
1157.156468013237,873.3424943752386,859.6940521737308
3585.156468013237,3801.2249294667963,3514.7398084870924
1777.156468013237,1662.8490235817171,717.8188854802991
3117.156468013237,2982.4710327904495,2839.080561198472
2829.156468013237,2644.6265449571683,2811.302747617421
-846.8435319867631,-812.6092887106036,230.16267435302572
3177.156468013237,3258.220416192383,3060.72323937916
